"Statistics","date","values"
"Total Market Transactions (count)","2016-06 (Jun)",19734
"RESIDENTIAL TOTAL (count)","2016-06 (Jun)",19007
"RESIDENTIAL - ACREAGE (count)","2016-06 (Jun)",890
"RESIDENTIAL - COMMERCE (count)","2016-06 (Jun)",85
"RESIDENTIAL - FARM (count)","2016-06 (Jun)",193
"RESIDENTIAL - MULTI-FAMILY (count)","2016-06 (Jun)",136
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-06 (Jun)",10004
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-06 (Jun)",5796
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-06 (Jun)",277
"RESIDENTIAL - OTHER (count)","2016-06 (Jun)",1626
"COMMERCIAL TOTAL (count)","2016-06 (Jun)",429
"COMMERCIAL - COMMERCE (count)","2016-06 (Jun)",222
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-06 (Jun)",117
"COMMERCIAL - OTHER (count)","2016-06 (Jun)",90
"RECREATIONAL TOTAL (count)","2016-06 (Jun)",142
"FARM TOTAL (count)","2016-06 (Jun)",107
"OTHER/UNKNOWN TOTAL (count)","2016-06 (Jun)",49
"FMV Sum ($ sum)","2016-06 (Jun)",NA
"FMV Average ($ mean)","2016-06 (Jun)",NA
"FMV Median ($ median)","2016-06 (Jun)",NA
"PTT Paid ($ sum)","2016-06 (Jun)",NA
"PTT Paid Median ($ median)","2016-06 (Jun)",NA
"Foreign Involvement Transactions (count)","2016-06 (Jun)",1494
"Foreign Involvement transactions - Residential (count)","2016-06 (Jun)",1407
"Foreign Involvement transactions - Commercial (count)","2016-06 (Jun)",68
"Foreign Involvement transactions - Other (count)","2016-06 (Jun)",19
"FMV Sum of Foreign Involvement Transactions ($ sum)","2016-06 (Jun)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2016-06 (Jun)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2016-06 (Jun)",NA
"Under $1 million (count, foreign involvement transactions)","2016-06 (Jun)",1141
"$1 million - $3 million (count, foreign involvement transactions)","2016-06 (Jun)",286
