DevelopmentRegion,RegionalDistrict,Municipality,Statistics,2016-06 (Jun),2016-07 (Jul),2016-08 (Aug),2016-09 (Sep),2016-10 (Oct),2016-11 (Nov),2016-12 (Dec)
Mainland/Southwest,FRASER VALLEY,Abbotsford,Total Market Transactions (count),643,552,509,401,354,354,286
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL TOTAL (count),635,541,494,387,348,347,272
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - ACREAGE (count),15,9,13,5,7,5,1
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - COMMERCE (count),6,NA,3,1,5,1,1
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - FARM (count),11,8,9,12,7,2,6
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - MULTI-FAMILY (count),2,3,NA,NA,NA,NA,NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),373,291,265,189,131,146,103
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - STRATA RESIDENTIAL (count),197,190,182,153,118,147,143
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),2,7,1,NA,3,7,17
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - OTHER (count),29,33,21,27,77,39,1
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL TOTAL (count),7,9,9,10,2,5,8
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - COMMERCE (count),6,6,7,4,1,NA,4
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - STRATA NON-RESIDENTIAL (count),NA,NA,1,4,NA,2,3
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - OTHER (count),1,3,1,2,1,3,1
Mainland/Southwest,FRASER VALLEY,Abbotsford,RECREATIONAL TOTAL (count),NA,NA,NA,1,1,NA,NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,FARM TOTAL (count),1,2,3,3,2,2,4
Mainland/Southwest,FRASER VALLEY,Abbotsford,OTHER/UNKNOWN TOTAL (count),NA,NA,3,NA,1,NA,2
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Sum ($ sum),"$344,557,368.30 ","$284,682,039.97 ","$289,330,577.97 ","$229,308,492.33 ","$178,022,074.26 ","$170,521,782.37 ","$137,638,545.73 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Average ($ mean),"$535,859.05 ","$515,728.33 ","$568,429.43 ","$571,841.63 ","$502,887.22 ","$481,699.95 ","$481,253.66 "
