DevelopmentRegion,RegionalDistrict,Municipality,Statistics,date,values
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - COMMERCE (count),2016-06 (Jun),6
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - COMMERCE (count),2016-07 (Jul),6
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - COMMERCE (count),2016-08 (Aug),7
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - COMMERCE (count),2016-09 (Sep),4
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - COMMERCE (count),2016-10 (Oct),1
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - COMMERCE (count),2016-11 (Nov),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - COMMERCE (count),2016-12 (Dec),4
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - OTHER (count),2016-06 (Jun),1
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - OTHER (count),2016-07 (Jul),3
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - OTHER (count),2016-08 (Aug),1
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - OTHER (count),2016-09 (Sep),2
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - OTHER (count),2016-10 (Oct),1
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - OTHER (count),2016-11 (Nov),3
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - OTHER (count),2016-12 (Dec),1
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - STRATA NON-RESIDENTIAL (count),2016-06 (Jun),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - STRATA NON-RESIDENTIAL (count),2016-07 (Jul),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - STRATA NON-RESIDENTIAL (count),2016-08 (Aug),1
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - STRATA NON-RESIDENTIAL (count),2016-09 (Sep),4
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - STRATA NON-RESIDENTIAL (count),2016-10 (Oct),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - STRATA NON-RESIDENTIAL (count),2016-11 (Nov),2
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL - STRATA NON-RESIDENTIAL (count),2016-12 (Dec),3
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL TOTAL (count),2016-06 (Jun),7
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL TOTAL (count),2016-07 (Jul),9
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL TOTAL (count),2016-08 (Aug),9
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL TOTAL (count),2016-09 (Sep),10
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL TOTAL (count),2016-10 (Oct),2
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL TOTAL (count),2016-11 (Nov),5
Mainland/Southwest,FRASER VALLEY,Abbotsford,COMMERCIAL TOTAL (count),2016-12 (Dec),8
Mainland/Southwest,FRASER VALLEY,Abbotsford,FARM TOTAL (count),2016-06 (Jun),1
Mainland/Southwest,FRASER VALLEY,Abbotsford,FARM TOTAL (count),2016-07 (Jul),2
Mainland/Southwest,FRASER VALLEY,Abbotsford,FARM TOTAL (count),2016-08 (Aug),3
Mainland/Southwest,FRASER VALLEY,Abbotsford,FARM TOTAL (count),2016-09 (Sep),3
