DevelopmentRegion,RegionalDistrict,Municipality,Statistics,2017-01 (Jan),2017-02 (Feb),2017-03 (Mar),2017-04 (Apr),2017-05 (May),2017-06 (Jun),2017-07 (Jul),2017-08 (Aug),2017-09 (Sep),2017-10 (Oct)
Cariboo,CARIBOO,CITY OF QUESNEL,Total Market Transactions (count),9,7,17,20,18,32,24,22,21,25
Cariboo,CARIBOO,CITY OF QUESNEL,RESIDENTIAL TOTAL (count),9,7,14,19,18,31,23,20,20,20
Cariboo,CARIBOO,CITY OF QUESNEL,RESIDENTIAL - ACREAGE (count),0,1,0,0,0,1,2,1,0,1
Cariboo,CARIBOO,CITY OF QUESNEL,RESIDENTIAL - COMMERCE (count),0,0,0,0,0,1,0,1,0,0
Cariboo,CARIBOO,CITY OF QUESNEL,RESIDENTIAL - FARM (count),0,0,0,0,0,1,0,0,0,0
Cariboo,CARIBOO,CITY OF QUESNEL,RESIDENTIAL - MULTI-FAMILY (count),1,0,3,1,0,1,0,0,1,1
Cariboo,CARIBOO,CITY OF QUESNEL,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),3,4,11,17,17,25,20,17,14,14
Cariboo,CARIBOO,CITY OF QUESNEL,RESIDENTIAL - STRATA RESIDENTIAL (count),0,1,0,1,1,0,1,1,5,4
Cariboo,CARIBOO,CITY OF QUESNEL,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),0,0,0,0,0,0,0,0,0,0
Cariboo,CARIBOO,CITY OF QUESNEL,RESIDENTIAL - OTHER (count),5,1,0,0,0,2,0,0,0,0
Cariboo,CARIBOO,CITY OF QUESNEL,COMMERCIAL TOTAL (count),0,0,3,1,0,1,1,1,0,5
Cariboo,CARIBOO,CITY OF QUESNEL,COMMERCIAL - COMMERCE (count),0,0,2,1,0,1,1,0,0,3
Cariboo,CARIBOO,CITY OF QUESNEL,COMMERCIAL - STRATA NON-RESIDENTIAL (count),0,0,0,0,0,0,0,0,0,0
Cariboo,CARIBOO,CITY OF QUESNEL,COMMERCIAL - OTHER (count),0,0,1,0,0,0,0,1,0,2
Cariboo,CARIBOO,CITY OF QUESNEL,RECREATIONAL TOTAL (count),0,0,0,0,0,0,0,0,0,0
Cariboo,CARIBOO,CITY OF QUESNEL,FARM TOTAL (count),0,0,0,0,0,0,0,0,0,0
Cariboo,CARIBOO,CITY OF QUESNEL,OTHER/UNKNOWN TOTAL (count),0,0,0,0,0,0,0,1,1,0
Cariboo,CARIBOO,CITY OF QUESNEL,FMV Sum ($ sum),"$ 1,058,633.33","$ 1,011,700.00","$ 5,896,650.00","$ 4,138,066.66","$ 2,669,000.00","$ 5,975,085.71","$ 6,849,800.00","$ 4,656,050.50","$ 3,217,500.00","$ 5,269,400.00"
Cariboo,CARIBOO,CITY OF QUESNEL,FMV Average ($ mean),"$ 117,625.93","$ 144,528.57","$ 346,861.76","$ 206,903.33","$ 148,277.78","$ 186,721.43","$ 285,408.33","$ 211,638.66","$ 153,214.29","$ 210,776.00"
Cariboo,CARIBOO,CITY OF QUESNEL,FMV Median ($ median),"$70,000.00","$ 100,000.00","$ 215,500.00","$ 179,250.00","$ 151,500.00","$ 156,750.00","$ 249,500.00","$ 195,672.08","$ 138,000.00","$ 188,200.00"
Cariboo,CARIBOO,CITY OF QUESNEL,PTT Paid ($ sum),"$ 12,096.33","$ 11,809.00","$ 89,197.50","$ 49,262.67","$ 28,895.00","$ 72,765.86","$ 96,733.00","$ 54,465.65","$ 36,410.00","$ 66,164.00"
Cariboo,CARIBOO,CITY OF QUESNEL,PTT Paid Median ($ median),$700.00,"$ 1,000.00","$ 2,310.00","$ 1,792.50","$ 1,515.00","$ 1,567.50","$ 2,990.00","$ 1,835.00","$ 1,380.00","$ 1,882.00"
Cariboo,CARIBOO,CITY OF QUESNEL,Foreign Involvement Transactions (count),0,0,0,nr,0,0,0,nr,0,0
Cariboo,CARIBOO,CITY OF QUESNEL,FMV Sum of Foreign Involvement Transactions ($ sum),NA,NA,NA,nr,NA,NA,NA,nr,NA,NA
Cariboo,CARIBOO,CITY OF QUESNEL,FMV Average of Foreign Involvement Transactions ($ mean),NA,NA,NA,nr,NA,NA,NA,nr,NA,NA
Cariboo,CARIBOO,CITY OF QUESNEL,FMV Median of Foreign Involvement Transactions ($ median),NA,NA,NA,nr,NA,NA,NA,nr,NA,NA
