Statistics,2016-06 (Jun),2016-07 (Jul),2016-08 (Aug),2016-09 (Sep),2016-10 (Oct),2016-11 (Nov),2016-12 (Dec),2017-01 (Jan),2017-02 (Feb),2017-03 (Mar),2017-04 (Apr),2017-05 (May),2017-06 (Jun),2017-07 (Jul),2017-08 (Aug),2017-09 (Sep),2017-10 (Oct)
Total Market Transactions (count),19734,17951,16304,14158,11688,11478,9336,7826,7795,10809,9773,14824,16987,15390,16556,13823,13008
RESIDENTIAL TOTAL (count),19007,17446,15807,13505,11128,10942,8817,7378,7351,10277,9331,14260,16317,14842,16077,13313,12306
RESIDENTIAL - ACREAGE (count),890,722,722,681,495,555,424,307,348,479,446,644,830,644,715,657,653
RESIDENTIAL - COMMERCE (count),85,69,98,73,52,76,75,45,46,72,64,86,91,91,72,95,99
RESIDENTIAL - FARM (count),193,103,121,105,77,84,60,43,45,76,65,66,89,92,109,112,78
RESIDENTIAL - MULTI-FAMILY (count),136,120,103,107,63,90,67,65,74,109,65,130,110,102,103,86,93
RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),10004,9087,8234,6068,4115,4646,3643,2708,3088,4446,4218,6495,7860,7054,7518,5852,5603
RESIDENTIAL - STRATA RESIDENTIAL (count),5796,5478,5038,4126,2671,3537,3118,2406,2659,3664,3388,5099,5552,4988,5330,4208,4195
RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),277,91,96,120,76,103,169,73,75,104,138,245,135,107,148,103,108
RESIDENTIAL - OTHER (count),1626,1776,1395,2225,3579,1851,1261,1731,1016,1327,947,1495,1650,1764,2082,2200,1477
COMMERCIAL TOTAL (count),429,285,301,405,313,313,333,275,270,306,223,308,406,319,259,274,464
COMMERCIAL - COMMERCE (count),222,123,139,217,107,135,167,128,131,153,105,138,165,146,130,121,259
COMMERCIAL - STRATA NON-RESIDENTIAL (count),117,106,99,97,46,109,99,67,101,88,81,115,169,122,75,70,70
COMMERCIAL - OTHER (count),90,56,63,91,160,69,67,80,38,65,37,55,72,51,54,83,135
