"DevelopmentRegion","RegionalDistrict","Municipality","Statistics","date","values"
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2016-06",6
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2016-07",6
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2016-08",7
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2016-09",4
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2016-10",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2016-11",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2016-12",4
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2016-06",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2016-07",3
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2016-08",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2016-09",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2016-10",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2016-11",3
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2016-12",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-06",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-07",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-08",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-09",4
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-10",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-11",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-12",3
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL TOTAL (count)","2016-06",7
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL TOTAL (count)","2016-07",9
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL TOTAL (count)","2016-08",9
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL TOTAL (count)","2016-09",10
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL TOTAL (count)","2016-10",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL TOTAL (count)","2016-11",5
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL TOTAL (count)","2016-12",8
"Mainland/Southwest","FRASER VALLEY","Abbotsford","FARM TOTAL (count)","2016-06",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","FARM TOTAL (count)","2016-07",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","FARM TOTAL (count)","2016-08",3
"Mainland/Southwest","FRASER VALLEY","Abbotsford","FARM TOTAL (count)","2016-09",3
"Mainland/Southwest","FRASER VALLEY","Abbotsford","FARM TOTAL (count)","2016-10",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","FARM TOTAL (count)","2016-11",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","FARM TOTAL (count)","2016-12",4
"Mainland/Southwest","FRASER VALLEY","Abbotsford","OTHER/UNKNOWN TOTAL (count)","2016-06",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","OTHER/UNKNOWN TOTAL (count)","2016-07",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","OTHER/UNKNOWN TOTAL (count)","2016-08",3
"Mainland/Southwest","FRASER VALLEY","Abbotsford","OTHER/UNKNOWN TOTAL (count)","2016-09",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","OTHER/UNKNOWN TOTAL (count)","2016-10",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","OTHER/UNKNOWN TOTAL (count)","2016-11",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","OTHER/UNKNOWN TOTAL (count)","2016-12",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RECREATIONAL TOTAL (count)","2016-06",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RECREATIONAL TOTAL (count)","2016-07",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RECREATIONAL TOTAL (count)","2016-08",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RECREATIONAL TOTAL (count)","2016-09",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RECREATIONAL TOTAL (count)","2016-10",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RECREATIONAL TOTAL (count)","2016-11",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RECREATIONAL TOTAL (count)","2016-12",NA
